"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.35229531991787e-62,1.9625892162367,0.57,0.209,3.10933262908715e-58,"Endothelial","MIR99AHG"
4.5821093903995e-60,2.34237188885401,0.468,0.143,1.05356441213456e-55,"Endothelial","UBC"
1.11114718270656e-59,2.48208624975081,0.378,0.088,2.5548607171972e-55,"Endothelial","PDLIM1"
6.86011362023069e-59,2.10712900888346,0.491,0.156,1.57734592469964e-54,"Endothelial","LIFR"
1.99263202302591e-58,1.81618704281201,0.52,0.166,4.58165881054346e-54,"Endothelial","TBCD"
6.84936466208652e-58,1.99419111279283,0.39,0.095,1.57487441675355e-53,"Endothelial","RHOJ"
3.90096190599358e-57,1.7778897539481,0.576,0.215,8.96948171045104e-53,"Endothelial","FLNB"
4.85603150050919e-57,2.51906004569728,0.328,0.068,1.11654732291208e-52,"Endothelial","GFOD1"
8.25230070977456e-57,1.70921575798019,0.567,0.202,1.89745150219846e-52,"Endothelial","EPB41L4A"
1.159677666885e-56,1.9646664262734,0.485,0.157,2.66644685946868e-52,"Endothelial","PELI1"
2.60063067432116e-56,1.91500340020014,0.282,0.07,5.97963010946664e-52,"Endothelial","CNTNAP3"
1.62222300178331e-55,1.7752074524726,0.561,0.2,3.72997734800037e-51,"Endothelial","CDK17"
2.02934672930312e-54,1.80605260221053,0.433,0.124,4.66607693468665e-50,"Endothelial","PTPRE"
3.91958784766742e-54,1.71896037954318,0.419,0.119,9.0123083381417e-50,"Endothelial","PPARG"
4.9338649220469e-54,2.03695060043151,0.291,0.069,1.13444356152624e-49,"Endothelial","YES1"
3.03116320492429e-53,1.82500759473123,0.419,0.126,6.96955355708242e-49,"Endothelial","ARRB1"
7.62245698877444e-53,2.08505428821444,0.34,0.085,1.75263153542891e-48,"Endothelial","ABLIM3"
2.58596587942436e-52,1.04010430198697,0.863,0.565,5.94591134656043e-48,"Endothelial","MAGI1"
3.9506917217034e-52,1.96389792403144,0.43,0.138,9.08382547571263e-48,"Endothelial","FAM155A"
1.96376288474752e-51,1.9901146556682,0.279,0.063,4.51528000089998e-47,"Endothelial","ITPR3"
1.85885267171559e-50,1.39694181623549,0.677,0.328,4.27405994807565e-46,"Endothelial","PPP3CA"
2.15161743723633e-50,2.00074399198209,0.378,0.099,4.94721397343749e-46,"Endothelial","SHROOM4"
2.86836665529381e-50,1.63127790088926,0.407,0.122,6.59523545051707e-46,"Endothelial","ODF2L"
1.08823553981687e-49,1.5179745209988,0.642,0.277,2.50217997670094e-45,"Endothelial","KIAA0355"
1.60624537902513e-48,1.33249707183482,0.733,0.407,3.69323999999249e-44,"Endothelial","TGFBR2"
1.75485190365033e-48,1.71378264738816,0.509,0.178,4.0349309820632e-44,"Endothelial","ARHGAP31"
3.25213142970788e-48,1.56736670890868,0.631,0.326,7.47762579632734e-44,"Endothelial","HIPK3"
8.2982709538394e-47,2.58777825184907,0.352,0.104,1.90802144041629e-42,"Endothelial","LRRC1"
8.43970337964126e-47,1.25099358738671,0.712,0.388,1.94054099808091e-42,"Endothelial","NFIB"
6.17646781995476e-46,2.26506930538407,0.262,0.062,1.4201552458422e-41,"Endothelial","PROCR"
2.28758997910697e-45,1.550194227877,0.68,0.367,5.25985563896065e-41,"Endothelial","INSR"
