"celltype","gene","contrast","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","method"
"Endothelial","BCR","disease_vs_control",3.19811126175579e-06,-0.920221890612152,0.441,0.558,0.0735341722415509,"Seurat_LR_cell_level_exploratory"
"Endothelial","CCDC85A","disease_vs_control",3.23997121307114e-06,-1.49036679196053,0.096,0.231,0.0744966581021448,"Seurat_LR_cell_level_exploratory"
"Endothelial","RUNX1T1","disease_vs_control",3.34384475068255e-06,1.15413889727042,0.495,0.231,0.0768850223524438,"Seurat_LR_cell_level_exploratory"
"Endothelial","STAT1","disease_vs_control",3.3751430725931e-06,2.8201572589744,0.218,0.032,0.0776046646681331,"Seurat_LR_cell_level_exploratory"
"Endothelial","RFX3","disease_vs_control",3.41073069628671e-06,-0.935776878925885,0.378,0.551,0.0784229308997202,"Seurat_LR_cell_level_exploratory"
"Endothelial","CORO1C","disease_vs_control",3.41101818462904e-06,-1.37736101681672,0.176,0.327,0.0784295411191754,"Seurat_LR_cell_level_exploratory"
"Endothelial","LIMCH1","disease_vs_control",3.41834168961545e-06,0.916522442490181,0.67,0.353,0.078597930469328,"Seurat_LR_cell_level_exploratory"
"Endothelial","HIP1R","disease_vs_control",3.42445358045062e-06,1.42031852911576,0.266,0.096,0.0787384611753012,"Seurat_LR_cell_level_exploratory"
"Endothelial","ACER2","disease_vs_control",3.52688398464508e-06,-2.60760811635514,0.053,0.186,0.0810936434589443,"Seurat_LR_cell_level_exploratory"
"Endothelial","SORBS2","disease_vs_control",3.557848272606e-06,1.35515122746983,0.431,0.192,0.0818056053320297,"Seurat_LR_cell_level_exploratory"
"Endothelial","PTBP3","disease_vs_control",3.59491678896009e-06,-1.36120925809094,0.207,0.372,0.0826579217285594,"Seurat_LR_cell_level_exploratory"
"Endothelial","FCHSD2","disease_vs_control",3.64566587213351e-06,0.820285233661015,0.734,0.404,0.0838247953979658,"Seurat_LR_cell_level_exploratory"
"Endothelial","NEGR1","disease_vs_control",3.66736369948209e-06,2.75121965069365,0.207,0.026,0.0843236935421917,"Seurat_LR_cell_level_exploratory"
"Endothelial","PRKACB","disease_vs_control",3.72218684112023e-06,2.31428676582289,0.239,0.051,0.0855842420378775,"Seurat_LR_cell_level_exploratory"
