"variable_feature"
"AC005009.2"
"NCRNA00250"
"RBPJL"
"TNNI1"
"AC108868.5"
"RP11-1149O23.4"
"EDNRB"
"TMEM163"
"CFH"
"STAB1"
"EMCN"
"POU4F1"
"KCNIP4"
"MYRIP"
"DLGAP1"
"AC079776.1"
"LINC01297"
"AC007461.2"
"RP11-838N2.3"
"THBS1"
"JAKMIP1"
"KCNQ5"
"KIF26B"
"PRKG1"
"MCTP1"
"LINC00885"
"KLRB1"
"PITPNC1"
"RP11-519G16.3"
"FCRL3"
"GFRA3"
"WNT8A"
"ZNF735"
"TEX101"
"GALNTL6"
"ISM1"
"RP11-107N15.1"
"RP11-418B12.1"
"TYRP1"
"AL021546.6"
"ZNF410"
"CTD-2319I12.5"
"NPTX1"
"RP11-705O1.8"
"RP3-402G11.27"
"SZT2-AS1"
"C8B"
"RP11-168O16.2"
"AC096669.3"
"AC097468.7"
"AC011298.2"
"LINC00694"
"TMPRSS7"
"RP11-166N6.3"
"RP11-362I1.1"
"AC004051.2"
"AC008937.3"
"RP11-114H21.2"
"PCDHB1"
"SLC17A1"
"RP3-335N17.2"
"AC000099.1"
"AC006004.1"
"RP11-359E19.2"
"ABRA"
"RP11-358M14.2"
"RP11-882G5.1"
"TECTB"
"RP11-277P12.6"
"LHX5"
"RP5-944M2.3"
"TUBA3C"
"C1QTNF9B"
"CTD-2325P2.4"
"RP11-57J16.1"
"AC139100.3"
"GGTLC1"
"ADIG"
"AC011516.1"
"CTA-212A2.2"
"ADM2"
"RP11-275I4.2"
"FENDRR"
"AC005329.7"
"FLT3"
"CHRM2"
"FAM19A2"
"DGAT2L6"
"PABPC5"
"FGF14"
"DAPK1"
"VEGFC"
"DNAAF3"
"RP5-1004I9.1"
"CD247"
"PCDH11X"
"ARHGAP15"
"RP11-357K6.3"
"TTN"
"TMIGD2"
"RP11-380P13.1"
"IQGAP2"
"FYB"
"IGFL4"
"RP11-227F19.1"
"RP11-627D16.1"
"ADAMTS4"
"CTB-91J4.1"
"LRRC3B"
"COL6A3"
"PRKCQ"
"CLNK"
"SLC2A3"
"AC104820.2"
"ITGAX"
"SPARCL1"
"SMOC1"
"ICOS"
"IGF1"
"SULF1"
"HPSE2"
"NRG1"
"MTSS1"
"ANK3"
"COLEC12"
"RP11-556E13.1"
"SCML4"
"IL1R2"
"RP11-33A14.1"
"GRIA1"
"PCDH7"
"IGSF21"
"CRTAM"
"ST6GALNAC5"
"BICC1"
"FCN1"
"RCAN2"
"STAT4"
"RP11-71E19.2"
"AC024132.1"
"RP11-707F2.1"
"RP11-73G16.3"
"MUC22"
"C6orf222"
"AC011290.4"
"KRT81"
"RP11-266E6.3"
"RP11-983G14.1"
"GABRA5"
"AC007950.1"
"CTD-2373H9.5"
"LINC00494"
"AC005592.1"
"SNCB"
"PLG"
"RP11-10H3.1"
"HHLA1"
"RP11-448P19.1"
"LINC00382"
"NOTUM"
"ANKRD34A"
"KHDRBS2"
"ADGRF5"
"NLGN1"
"LINC00879"
"NEURL1B"
"RP11-57H12.5"
"RP11-262I2.2"
"RP4-575N6.4"
"DIAPH3-AS1"
"RP1-167O22.1"
"EDN3"
"RP1-249H1.2"
"TMEM102"
"ITGBL1"
"TDGF1"
"DMD"
"RP11-57C13.3"
"RP11-526P5.2"
"RP11-113D6.6"
"LINC00471"
"CLEC3B"
"TCTE1"
"CTB-147C22.8"
"RP11-431M7.3"
"VWDE"
"SCEL"
"CES3"
"RP11-154H12.3"
"C1orf168"
"LINC01525"
"RP11-271F18.4"
"PDCD1"
"RP11-454C18.1"
"LINC00972"
"SPATA31D3"
"TPSAB1"
"RP11-527L4.2"
"EFCAB6-AS1"
"CPA3"
"CTD-3012A18.1"
"TESPA1"
"KLRC4-KLRK1"
"CTB-133G6.1"
"LINC01088"
"CHRM3"
"RUNX3"
"SMAP2"
"RTKN2"
"KCTD8"
"KCNQ3"
"NLRC3"
"ABI3BP"
"TBX21"
"SLCO2A1"
"ABLIM1"
"PYHIN1"
"XACT"
"RAB3C"
"RP11-665G4.1"
"SLC7A2"
"CD69"
"RUFY4"
"MID1"
"EBF2"
"GLRA3"
"LINC01505"
"RP11-626G11.4"
"CTNNA3"
"KLHL41"
"RP11-323I1.1"
"RP11-546K22.3"
"CDHR5"
"RP11-676F20.5"
"RP11-1070N10.4"
"LIM2"
"AC008103.3"
"AC007325.4"
"CYP17A1"
"RP5-983L19.2"
"FAM129C"
"NEBL"
"ADGRG5"
"CIITA"
"PRG4"
"CD3D"
"PSG7"
"MYO1F"
"MIR325HG"
"ANKRD30B"
"NWD2"
"APBB1IP"
"RP11-159L20.2"
"KRT24"
"CTD-2552K11.2"
"PLIN1"
"RP11-320N21.2"
"LPO"
"DTHD1"
"PECAM1"
"ADGRL4"
"CTD-3110H11.1"
"LINC01097"
"RP11-629B11.5"
"AC106801.1"
"RIPPLY2"
"AC093627.7"
"GPR37"
"CCL27"
"RP11-63C8.1"
"MS4A15"
"BTG4"
"C10orf71"
"RP11-179K3.2"
"RP11-57G10.8"
"CDHR1"
"RP11-59N23.1"
"RP11-698F20.3"
"RP6-114E22.1"
"CTD-2007A10.1"
"LINC00521"
"RP5-1067M6.3"
"RP1-293L6.1"
"AF241725.4"
"AADACL3"
"RP4-534N18.2"
"NT5C1A"
"RP11-49P4.7"
"FOXE3"
"CDCP2"
"CH17-125A10.2"
"RP11-422P24.10"
"METTL11B"
"AC116609.1"
"POTEI"
"AC010983.1"
"AC064834.1"
"AC093381.2"
"UBE2E2-AS1"
"CCR4"
"LINC00488"
"RP11-190C22.9"
"AC091633.3"
"FGFBP2"
"RP11-665I14.1"
"UGT2A1"
"RP11-553P9.3"
"RP11-793B23.1"
"ASIC5"
"TAS2R1"
"RP11-116O11.1"
"GDNF"
"RP11-122C5.3"
"LINC01338"
"RP11-455B3.1"
"LINC00492"
"AC034228.4"
"CTB-78F1.1"
"CTC-265N9.1"
"HIST1H2AK"
"XXbac-BPG13B8.10"
"SAPCD1-AS1"
"RP1-207H1.3"
"RP11-385F7.1"
"XXbac-BPGBPG55C20.1"
"RP11-462G2.2"
"RP11-425D10.10"
"PACRG-AS1"
"XX-C2158C12.2"
"EVX1"
"AC004870.3"
"RP11-757A13.1"
"MOGAT3"
"AC073934.6"
"SSX1"
"RP13-347D8.7"
"ZNF705G"
"CTA-398F10.1"
"CTD-3023L14.2"
"RP11-431M3.1"
"RP11-738G5.1"
"RP11-401H2.1"
"RP11-91I20.3"
"RP1-16A9.1"
"RP11-152P17.3"
"RP11-375O18.2"
"RP11-435O5.2"
"TMEM8C"
"DBH"
"RP11-379P15.1"
"RP1-17K7.2"
"SLC22A12"
"ZNHIT2"
"SLN"
"FOXR1"
"PANX3"
"C10orf111"
"MKX-AS1"
"GPRIN2"
"RGR"
"DNTT"
"LINC01153"
"DMBT1"
"CALY"
"LINC00942"
"RP11-551L14.6"
"RP11-70F11.8"
"RP1-288H2.2"
"CTD-2021H9.3"
"RP11-295G12.1"
"RP11-290L1.3"
"LINC01405"
"RP11-1028N23.3"
"SHISA2"
"DIAPH3-AS2"
"GPC5-AS1"
"RP11-789A21.1"
"RP11-2C7.1"
"HEXA"
"CTD-2026K11.2"
"CRABP1"
"NMB"
"LINC01581"
"RP11-6O2.4"
"CTD-2270P14.5"
"NPIPB7"
"RP11-426C22.8"
"RP11-44F14.2"
"TAT-AS1"
"DHRS7C"
"LGALS9C"
"ALDH3A1"
"LINC01563"
"TMIGD1"
"CTD-2267D19.3"
"CTD-2132N18.3"
"CACNA1G-AS1"
"PRR29-AS1"
"RP11-147L13.2"
"TMEM235"
"RP11-784B15.1"
"RP11-47G4.2"
"RP11-102J14.1"
"LINC00656"
"WFDC8"
"RP3-492J12.2"
"AC104532.3"
"CTD-2553L13.10"
"ATP4A"
"AC104534.2"
"LINC01595"
"C19orf73"
"CTD-2616J11.2"
"POTEH"
"RP1-76B20.11"
"CPT1B"
"LINC00320"
"AF124730.4"
"B3GALT5-AS1"
"AP001476.3"
"S100B"
"RP11-159M11.2"
"ELMO1"
"KCND2"
"SLC38A11"
"CSGALNACT1"
"RAPGEF4"
"DCST1"
"LINC01396"
"RP11-241G9.3"
"CD40LG"
"RP11-1C8.4"
"SKIDA1"
"HTR4"
"COL8A1"
"MGAT4C"
"ZNF385D"
"NAMPT"
"CRTAC1"
"EOMES"
"KCNT2"
"CNTN5"
"RP11-69G7.1"
"ABCB1"
"LINC00698"
"RP11-408H1.3"
"CTD-2066L21.3"
"AKAP12"
"MCF2L"
"RSPH14"
"KLRF1"
"EGLN1"
"JCHAIN"
"AC004840.8"
"RP11-473J6.1"
"CCDC155"
"ITGAL"
"MYH10"
"PDGFD"
"STXBP6"
"GZMA"
"PDE3B"
"SYN3"
"GAS7"
"RP11-1080G15.1"
"ROBO2"
"TFRC"
"CYYR1"
"NELL2"
"GPM6A"
"PDE4B"
"LCK"
"SLC7A13"
"CILP2"
"RP11-112L6.3"
"GC"
"MMP8"
"MTRNR2L1"
"LYPD6B"
"CD2"
"RP4-668E10.4"
"MIR3976HG"
"GRID2"
"RYR3"
"BNC2"
"IFNG-AS1"
"CXCL8"
"RP11-277P12.20"
"NEGR1"
"CYP1B1-AS1"
"HMCN1"
"RP11-324E6.6"
"CD8A"
"RP11-301L8.2"
"VSTM2A"
"TTPA"
"FIBCD1"
"SULT1A4"
"LRFN1"
"SULT6B1"
"C2orf78"
"AC008067.2"
"XXbac-BPG32J3.20"
"CTD-2587H24.5"
"UNC13C"
"TNIP3"
"HSH2D"
"TRGC2"
"SFMBT2"
"GATA3"
"MTUS2"
"CCDC88C"
"GPNMB"
"PDE10A"
"GPC6"
"CTLA4"
"KALRN"
"SIDT1"
"CDH19"
"HLA-DRB1"
"PLEKHG1"
"ZNF521"
"HLA-DQA1"
"RP11-563P16.1"
"CARMN"
"LINC00278"
"RP11-76E17.3"
"C3orf22"
"RP11-321E8.4"
"MYL10"
"RP13-923O23.6"
"DOLPP1"
"RP11-359E10.1"
"RP11-260G13.1"
"RP11-433J8.2"
"ITPKA"
"RP11-1035H13.3"
"AP001255.2"
"DOCK2"
"GALNT15"
"FAM177B"
"LINC00499"
"RP11-364L4.3"
"CTA-363E6.2"
"RP5-843L14.1"
"ANKRD1"
"AC007319.1"
"SLC24A3"
"SHANK3"
"EGFL7"
"ABCA9"
"LEF1"
"PCDH17"
"PLD5"
"IKZF1"
"SLIT3"
"FN1"
"GRM8"
"CHST11"
"NMNAT2"
"RP11-405A12.2"
"CSF2RA"
"VCAN"
"PCSK6"
"RP11-223C24.1"
"OLR1"
"NOX4"
"RIMS1"
"ITLN1"
"PTPRJ"
"SMIM18"
"TOX3"
"COL3A1"
"IL1B"
"C17orf99"
"AC003092.1"
"ABCC8"
"AC116614.1"
"FMNL2"
"ADGRL3"
"HSD11B1"
"HAS1"
"SAT1"
"MMRN1"
"TRDN"
"MERTK"
"ADAMTS6"
"RP11-61O11.1"
"ELOVL7"
"SHISA6"
"CD74"
"CHSY3"
"ALOX5"
"CXorf36"
"ATP8B4"
"AC004862.6"
"RP11-89M20.2"
"BMP2"
"AC007563.5"
"CD3G"
"GRIA2"
"AL035610.2"
"PRKCB"
"SUGCT"
"LYPD5"
"B3GAT1"
"CTD-2020K17.4"
"ATP1A4"
"AKAP3"
"HDC"
"FOXB1"
"CCDC175"
"SLC8A1"
"ZEB2"
"SYTL3"
"SLC39A8"
"RP11-323I15.5"
"LINC01141"
"RP4-535B20.1"
"TOMM20L"
"CEACAM3"
"LINC01037"
"RP1-153G14.4"
"AC092657.2"
"WNT16"
"ARHGEF35"
"PGM5P3-AS1"
"DMRT3"
"LINC01495"
"RP11-255M2.2"
"RP11-895K13.2"
"GPR139"
"CTB-134F13.1"
"RP11-697E22.1"
"CTC-400I9.2"
"PSG5"
"AP001626.1"
"CATSPER4"
"HAGLR"
"RP11-88H10.2"
"LINC01259"
"RP4-655C5.4"
"ASB4"
"GLRA4"
"RP11-431M3.2"
"RP11-350N15.5"
"C8orf89"
"LINC01551"
"RP11-580I1.2"
"AC068831.10"
"FNDC8"
"CH507-9B2.1"
"CNTNAP3B"
"RARRES1"
"SAMD3"
"LAMA3"
"HS6ST3"
"MYH11"
"DCN"
"TMC8"
"DYTN"
"TMEM40"
"COL9A1"
"RP11-269F20.1"
"MZB1"
"AC000124.1"
"LGI3"
"PITX3"
"RP11-46I8.3"
"PPP1R27"
"CTD-2620I22.3"
"RP11-73M7.1"
"TCHH"
"CCDC74B"
"AFP"
"MUC5AC"
"CTD-2560E9.3"
"PCAT18"
"MAPK8IP2"
"AC002056.5"
"APOBEC3H"
"RP11-497K21.1"
"LINC01545"
"NPFFR1"
"RP11-298H24.1"
"RP11-48G14.1"
"GABARAP"
"AF165138.7"
"RP5-875O13.1"
"RP11-174G17.2"
"C1orf94"
"TTC22"
"RP4-612B15.3"
"PPM1J"
"OAZ3"
"RP11-536C5.2"
"XCL1"
"RGS21"
"RP11-372M18.2"
"RP11-552D8.1"
"AC092669.3"
"LINC00608"
"RP11-640L9.1"
"RP11-319E12.1"
"RP11-392B6.1"
"CTC-248O19.1"
"SLC34A1"
"RP3-425P12.5"
"HIST1H4E"
"GSTA3"
"LGSN"
"RP3-463P15.1"
"AC003986.6"
"GPR141"
"DDC"
"RP11-806J6.1"
"CTB-111F10.1"
"SMKR1"
"GATA1"
"BEX5"
"RP11-783K16.13"
"TRIM29"
"RP11-298E9.6"
"RP11-34C15.2"
"LINC01552"
"ANTXRL"
"RP11-295I5.4"
"RP11-380B4.3"
"LINC00402"
"RP11-325L12.7"
"RP11-355E10.1"
"SDR42E1"
"RP11-1109M24.16"
"GAS2L2"
"GCGR"
"RP11-678G15.2"
"CHRNA4"
"MAG"
"TTC9B"
"TMPRSS6"
"AP000959.2"
"CHRNG"
"CXCL9"
"GS1-600G8.5"
"RP11-76E17.4"
"RP11-405F3.4"
"RP11-700H13.1"
"XKR7"
"SMC2-AS1"
"RP11-20J15.3"
"AC084193.1"
"RP11-1038A11.3"
"MYCNUT"
"WBSCR17"
"PTGS2"
"SORBS1"
"IL1RAPL1"
"THSD4"
"CACNA1C"
"RAB27B"
"NDRG1"
"ZAP70"
"PPP1R16B"
"CD1C"
"RP11-115J16.3"
"RP1-74B13.2"
"SERPINB5"
"DNAJC28"
"MCM2"
"RP11-227H15.4"
"ABCC9"
"GRIK2"
"KCNG3"
"RP5-1031D4.2"
"RP11-838N2.5"
"LRFN2"
"CHODL"
"ADIPOQ"
"NXPH2"
"DUX4"
"BANF2"
"RP11-25L3.3"
"SH2D2A"
"CD6"
"ZBTB7C"
"ABCG1"
"CRAT37"
"CCDC85A"
"RP11-508N12.2"
"SFRP1"
"CACNA1I"
"RNF157"
"HMGA2"
"PRKCH"
"CCL4"
"CCSER1"
"CACNB4"
"BMP2K"
"PDZRN3"
"CALCRL"
"DSCR4"
"HKDC1"
"BACE2"
"SEMA7A"
"P2RY8"
"RP11-296E23.1"
"LINC00426"
"PLA2G2D"
"TECRL"
"RP11-843P14.2"
"PTCSC3"
"RP11-509A17.3"
"GCNT3"
"AC144652.1"
"RP11-305L7.7"
"IGLON5"
"FCER1A"
"RP11-755B10.3"
"HLTF-AS1"
"RP11-21G20.3"
"RP11-366H4.3"
"RP11-157J24.2"
"VWA7"
"CTD-2184D3.6"
"RP5-1028K7.2"
"RP11-15F12.1"
"RP11-420K8.1"
"AC073333.8"
"BTBD11"
"RP11-35J10.5"
"PI15"
"TACR1"
"SLC14A1"
"TMTC2"
"TXK"
"FAM49B"
"LINC00944"
"CYSLTR1"
"SPOCK2"
"ACTA2"
"GNG11"
"ENPP2"
"KCNMB2-AS1"
"HS3ST5"
"KRT16"
"LCP2"
"EDA"
"CCR7"
"TOP2A"
"FHIT"
"CHN2"
"SFRP2"
"DOCK9"
"LINC00607"
"ADAMTS1"
"RPGR"
"TMEFF2"
"GNG2"
"RP11-563D10.1"
"SIM2"
"MEG3"
"PDZD2"
"NR1I3"
"GIF"
"CTD-3187F8.14"
"NLRP4"
"RP11-498M5.2"
"UGT8"
"RP4-669B10.3"
"AC005624.2"
"DRD2"
"DMXL2"
"CACNB2"
"SI"
"ABCA6"
"PLAT"
"SLIT2"
"PLCB4"
"JAKMIP2"
"AC010084.1"
"C2orf48"
"DNASE1L3"
"MIR2052HG"
"ROR2"
"TCF7"
"LINC00511"
"HLA-DQB1"
"RP11-30J20.1"
"COL24A1"
"RUNX1"
"SEMA3F-AS1"
"STEAP4"
"RP11-431K24.3"
"RP11-98D18.9"
"CRABP2"
"NPHS2"
"LINC01304"
"LRRC31"
"RP11-713M6.2"
"MROH2B"
"CTB-7E3.1"
"MSX2"
"SCGN"
"BEND2"
"RP11-3G20.2"
"RP11-402N8.1"
"RP13-870H17.3"
"RP11-421F16.3"
"RP11-417L19.4"
"RP11-680F8.1"
"CIB3"
"INSL3"
"RP4-543J13.1"
"LINC01516"
"GALR1"
"NEIL3"
"GRM7"
"SCNN1B"
"CLDN10-AS1"
"ASB15"
"ZNF683"
"SLC38A8"
"INPP5D"
"PLXNA4"
"PTGDR"
"PTCHD4"
"TMTC1"
"LINC01435"
"TOX"
"AC004901.1"
"FOXD2-AS1"
"LINC00581"
"GREM1"
"RP11-399F2.2"
"CPNE4"
"SBK1"
"RP11-255M2.3"
"MEOX2"
"RP11-586K2.1"
"SRGN"
"RP11-434D11.4"
"CD3E"
"KLHL4"
"SCN3A"
"RP11-475O6.1"
"FAM159A"
"MYOCD"
"SLC2A1"
"PRUNE2"
"SGCD"
"SERPINE2"
"SPHKAP"
"COL12A1"
"AREG"
"RP11-100M12.3"
"RP11-95H3.1"
"LINC00176"
"ONECUT3"
"TMPRSS2"
"AC007251.2"
"RP1-273G13.3"
"RP11-111M22.3"
"RP11-90J7.3"
"CCDC3"
"BCYRN1"
"SLAMF1"
"CTD-2034I4.1"
"UNC13A"
"PLA2G5"
"LTBP1"
"IL2RA"
"F11-AS1"
"CYP19A1"
"CATSPERB"
"ADAM28"
"TMEM212"
"RP11-480C22.1"
"NKAIN3"
"KCNC2"
"TRIM71"
"RP11-654C22.2"
"RP11-702F3.3"
"SH3TC2"
"NPL"
"C3"
"LINC01478"
"C14orf178"
"LDHD"
"GAGE10"
"SIRPG"
"RBPMS"
"RERG"
"CCL5"
"TANC2"
"S100Z"
"CPAMD8"
"STOX2"
"RALGAPA2"
"SLC44A5"
"MIR548XHG"
"LMOD1"
"COX7B2"
"RP11-35J1.1"
"HIST1H1E"
"ABCA8"
"LINC01592"
"ITGB4"
"AC009410.1"
"KCNH4"
"LGR5"
"PDE1C"
"RP11-400N13.3"
"NCAM1"
"SEMA3E"
"PRDM1"
"IQCA1-AS1"
"KIAA1217"
"RNF150"
"PBX4"
"TGFBR3"
"RP11-3B12.2"
"TRG-AS1"
"RP11-290O12.2"
"RP11-145A3.1"
"TEX41"
"NRP1"
"NUGGC"
"JAK3"
"UBC"
"RP1-148H17.1"
"LINC01579"
"ADRBK2"
"ZNF804A"
"MARCH1"
"IL12RB2"
"SEMA6A"
"SIGLEC1"
"CLDN11"
"PTCHD1-AS"
"AC074363.1"
"ZNF436-AS1"
"AC090505.6"
"PLAUR"
"ANKS1B"
"TMEM108"
"COL14A1"
"AC009264.1"
"AC195454.1"
"PLPPR5"
"CLEC4F"
"CLVS2"
"SLC13A1"
"NYX"
"ADGRG3"
"CTCFL"
"RP11-573D15.3"
"LHFP"
"TGM4"
"PLCH2"
"AC018731.3"
"AC079790.2"
"RBP1"
"F2"
"CLEC6A"
"VTCN1"
"CISH"
"SAMD7"
"PCDHB11"
"TFAP2D"
"CTSW"
"HAO1"
"CTD-2621I17.6"
"ACSL1"
"RHBG"
"RP11-525G13.2"
"RP11-439E19.7"
"AC079610.2"
"AADAC"
"SLC10A4"
"RP11-646I6.5"
"ADGRL3-AS1"
"LINC01484"
"LTA"
"NOX3"
"TCP10"
"SSMEM1"
"NXF3"
"FMR1NB"
"AF011889.5"
"CTD-2168K21.1"
"RP11-643G5.6"
"RP11-115C10.1"
"RP11-237N19.3"
"RP11-217L21.1"
"RP11-357K6.2"
"LINC00383"
"LRRC16B"
"NKX2-1"
"RP11-26L16.1"
"RP11-433J8.1"
"CTD-2555C10.3"
"BNC1"
"AC022816.2"
"TLCD1"
"LINC01531"
"CTD-2545M3.2"
"CELA3A"
"C1orf61"
"ACTA1"
"AC106874.1"
"RP11-299H21.1"
"VSIG1"
"ADPGK-AS1"
"ZNF492"
"RP4-536B24.3"
"FAM153A"
"DACH1"
"KCNMA1"
"CCDC64"
"BIRC3"
"SUSD3"
"PRR16"
"SVEP1"
"KCTD16"
"CD209"
"MYHAS"
"SH2D3C"
"ZNF385B"
"SGK1"
"RASAL3"
"GLUL"
"KANK4"
"NCR1"
"DRC1"
"PLIN5"
"GNA14"
"LINC01091"
"ETS1"
"CP"
"ANGPTL4"
"NXN"
"APBA2"
"RP11-187O7.3"
"CR1"
"LINC01344"
"PXT1"
"BATF"
"ADAMTS9-AS2"
"DIRC3"
"LUM"
"GABRB1"
"ADCY3"
"TNFSF14"
"RSPO4"
"EPHA6"
"DLG2"
"TCERG1L"
"RP11-78F17.1"
"ITGA4"
"SYK"
"PSD3"
"RP11-89K10.1"
"TNF"
"DPP6"
"SCN2A"
"DCLK1"
"CCDC68"
"SEMA4D"
"COL25A1"
"LPL"
"SYNPO2"
"CCDC79"
"CTD-2130O13.1"
"CD83"
"AMPH"
"PAK7"
"DAPK2"
"ZNF831"
"CTD-2207O23.3"
"MGP"
"PLCXD2"
"FAM167B"
"MDH1B"
"RP11-215P8.4"
"SPINK5"
"RP11-67C2.2"
"PNLIPRP3"
"ZNF705A"
"TTLL8"
"RHEBL1"
"MITF"
"TXNIP"
"ATRNL1"
"RP1-78O14.1"
"CDH13"
"PLK2"
"SYTL1"
"CMIP"
"LINC00243"
"CTD-2060L22.1"
"LRFN5"
"RP3-323A16.1"
"ANKRD45"
"SCN10A"
"RP11-680B3.2"
"C9orf135"
"C5AR2"
"MACROD2"
"NLRP3"
"NCALD"
"LINC01099"
"AC017060.1"
"ST8SIA5"
"ADH1B"
"LINC00693"
"RP11-91A18.4"
"CBLN4"
"RP11-40H20.4"
"TNNC1"
"AC073325.1"
"AP000936.4"
"RP11-359G22.4"
"GPRIN3"
"SLC52A1"
"LRRTM3"
"DCC"
"BTLA"
"DPF1"
"LINC00299"
"IGFBP7"
"RBPJ"
"CNTNAP3"
"ACAP1"
"RP11-96H19.1"
"SCUBE1"
"TTLL10-AS1"
"RP4-635E18.6"
"NPPB"
"PRAMEF20"
"RP4-798A10.7"
"TACSTD2"
"RP4-620F22.2"
"CH17-353B19.1"
"RP11-495P10.6"
"RP11-126K1.6"
"AL589986.2"
"LINC01527"
"S100A1"
"RP11-284F21.8"
"CFAP126"
"RGS8"
"RP11-541F9.1"
"RP11-168O16.1"
"LAD1"
"RP11-357P18.3"
"RP11-354K1.2"
"RP4-613A2.1"
"LINC01132"
"AC104794.4"
"RP11-111J6.2"
"TCF23"
"IL36B"
"DPP10-AS1"
"RP11-77A13.1"
"AC013269.5"
"RP11-92F20.1"
"ECEL1"
"AC096574.5"
"RP11-767C1.1"
"WNT7A"
"PRSS50"
"RP11-802O23.3"
"RP11-543A18.1"
"POU1F1"
"SIDT1-AS1"
"RP11-368I23.2"
"RP11-362K14.6"
"RP11-145M9.5"
"RP11-1J7.1"
"RP11-556G22.3"
"RP11-292B1.2"
"RP11-345F18.1"
"RP11-340A13.2"
"CXCL6"
"RP11-766F14.2"
"TET2-AS1"
"RP11-501E14.1"
"RP11-97E7.2"
"LINC01511"
"CTD-2139B15.4"
"RP11-192H6.2"
"CTD-2533K21.4"
"RP11-473L15.3"
"CTD-2314G24.2"
"CTC-575I10.1"
"ANKRD34B"
"RP11-6N13.4"
"CTC-548H10.2"
"KIAA1024L"
"CTB-49A3.5"
"CH17-140K24.1"
"PCDHB2"
"CTB-147C13.1"
"CTB-43E15.2"
"RP11-826N14.4"
"EIF4E1B"
"RP3-470L22.1"
"HIST1H1B"
"ADGRF4"
"RP11-415D17.4"
"RP3-399L15.2"
"RP1-283K11.3"
"NHEG1"
"IL22RA2"
"EZR-AS1"
"RP1-125N5.2"
"AC004895.4"
"AC007161.5"
"AC004160.4"
