"gene","donor_id","biosample_id","condition2","celltype","n_cells","mean_log_norm_expr","pct_expr"
"MALAT1","751","Symptomatic carotid plaque 1B","disease","Vascular Smooth Muscle",1799,3.58399869392233,1
"MALAT1","826","Asymptomatic carotid plaque 1A","disease","Endothelial",66,3.41970302059158,1
"MALAT1","826","Asymptomatic carotid plaque 1A","disease","Fibroblast",156,3.43029354258971,1
"MALAT1","826","Asymptomatic carotid plaque 1A","disease","Lymphocyte",112,3.57573152577013,1
"MALAT1","826","Asymptomatic carotid plaque 1A","disease","Macrophage",492,3.33441971344917,1
"MALAT1","826","Asymptomatic carotid plaque 1A","disease","Pericyte",16,3.37455260998114,1
"MALAT1","826","Asymptomatic carotid plaque 1A","disease","Vascular Smooth Muscle",192,3.59468127592791,1
"MALAT1","826","Asymptomatic carotid plaque 1B","disease","Endothelial",25,3.31551709173281,1
"MALAT1","826","Asymptomatic carotid plaque 1B","disease","Fibroblast",81,3.36693441465404,1
"MALAT1","826","Asymptomatic carotid plaque 1B","disease","Lymphocyte",76,3.55074350871666,1
"MALAT1","826","Asymptomatic carotid plaque 1B","disease","Macrophage",253,3.25072743760197,1
"MALAT1","826","Asymptomatic carotid plaque 1B","disease","Pericyte",10,3.26745011259603,1
"MALAT1","826","Asymptomatic carotid plaque 1B","disease","Vascular Smooth Muscle",106,3.35867820699592,0.981132075471698
"MALAT1","C7","Control disease free carotid tissue","control","Endothelial",156,3.47476350526039,1
"MALAT1","C7","Control disease free carotid tissue","control","Lymphocyte",10,3.53268035067631,1
"MALAT1","C7","Control disease free carotid tissue","control","Macrophage",4,3.80449246253551,1
"MALAT1","C7","Control disease free carotid tissue","control","Pericyte",63,3.58253271201781,1
"MALAT1","C7","Control disease free carotid tissue","control","Unknown1",39,3.49735612462531,1
"MALAT1","C7","Control disease free carotid tissue","control","Unknown2",19,3.52883307221371,1
"MALAT1","C7","Control disease free carotid tissue","control","Vascular Smooth Muscle",153,3.65630967362857,1
"ACTA2","751","Symptomatic carotid plaque 1A","disease","Endothelial",47,0.23549854669523,0.127659574468085
"ACTA2","751","Symptomatic carotid plaque 1A","disease","Fibroblast",6,0.273257483071277,0.166666666666667
"ACTA2","751","Symptomatic carotid plaque 1A","disease","Lymphocyte",31,0.279942758905093,0.129032258064516
"ACTA2","751","Symptomatic carotid plaque 1A","disease","Macrophage",101,0.255514665958297,0.099009900990099
"ACTA2","751","Symptomatic carotid plaque 1A","disease","Pericyte",3,1.45084339110104,0.666666666666667
"ACTA2","751","Symptomatic carotid plaque 1A","disease","Vascular Smooth Muscle",1842,1.47554606363148,0.609120521172638
"ACTA2","751","Symptomatic carotid plaque 1B","disease","Endothelial",50,0.206346840407109,0.1
"ACTA2","751","Symptomatic carotid plaque 1B","disease","Fibroblast",6,0.272036941361694,0.166666666666667
"ACTA2","751","Symptomatic carotid plaque 1B","disease","Lymphocyte",29,0.437237055746572,0.172413793103448
"ACTA2","751","Symptomatic carotid plaque 1B","disease","Macrophage",102,0.237297667501162,0.0980392156862745
"ACTA2","751","Symptomatic carotid plaque 1B","disease","Pericyte",4,1.12962097839255,0.5
"ACTA2","751","Symptomatic carotid plaque 1B","disease","Vascular Smooth Muscle",1799,1.46830863935544,0.602556976097832
"ACTA2","826","Asymptomatic carotid plaque 1A","disease","Endothelial",66,0,0
"ACTA2","826","Asymptomatic carotid plaque 1A","disease","Fibroblast",156,1.08105799045915,0.448717948717949
"ACTA2","826","Asymptomatic carotid plaque 1A","disease","Lymphocyte",112,0.0999114798407116,0.0446428571428571
"ACTA2","826","Asymptomatic carotid plaque 1A","disease","Macrophage",492,0.0771149017799981,0.0365853658536585
"ACTA2","826","Asymptomatic carotid plaque 1A","disease","Pericyte",16,1.62594464591494,0.75
"ACTA2","826","Asymptomatic carotid plaque 1A","disease","Vascular Smooth Muscle",192,1.39046552649636,0.515625
"ACTA2","826","Asymptomatic carotid plaque 1B","disease","Endothelial",25,0,0
"ACTA2","826","Asymptomatic carotid plaque 1B","disease","Fibroblast",81,1.26706882555324,0.506172839506173
"ACTA2","826","Asymptomatic carotid plaque 1B","disease","Lymphocyte",76,0.146370330313874,0.0657894736842105
"ACTA2","826","Asymptomatic carotid plaque 1B","disease","Macrophage",253,0.0557752178519046,0.0316205533596838
"ACTA2","826","Asymptomatic carotid plaque 1B","disease","Pericyte",10,1.42073275202393,0.6
"ACTA2","826","Asymptomatic carotid plaque 1B","disease","Vascular Smooth Muscle",106,1.42256009464937,0.547169811320755
"ACTA2","C7","Control disease free carotid tissue","control","Endothelial",156,0.0570188326689782,0.032051282051282
"ACTA2","C7","Control disease free carotid tissue","control","Lymphocyte",10,0,0
"ACTA2","C7","Control disease free carotid tissue","control","Macrophage",4,0,0
"ACTA2","C7","Control disease free carotid tissue","control","Pericyte",63,0.830154890229183,0.349206349206349
"ACTA2","C7","Control disease free carotid tissue","control","Unknown1",39,0.298380138645844,0.128205128205128
"ACTA2","C7","Control disease free carotid tissue","control","Unknown2",19,0.344984845562781,0.157894736842105
"ACTA2","C7","Control disease free carotid tissue","control","Vascular Smooth Muscle",153,0.694174906687294,0.287581699346405
"TAGLN","751","Symptomatic carotid plaque 1A","disease","Endothelial",47,0.046538946887043,0.0212765957446809
"TAGLN","751","Symptomatic carotid plaque 1A","disease","Fibroblast",6,0.273257483071277,0.166666666666667
"TAGLN","751","Symptomatic carotid plaque 1A","disease","Lymphocyte",31,0.0996914618856035,0.0645161290322581
"TAGLN","751","Symptomatic carotid plaque 1A","disease","Macrophage",101,0.212936541000966,0.0891089108910891
"TAGLN","751","Symptomatic carotid plaque 1A","disease","Pericyte",3,0,0
"TAGLN","751","Symptomatic carotid plaque 1A","disease","Vascular Smooth Muscle",1842,0.699942343395819,0.323561346362649
"TAGLN","751","Symptomatic carotid plaque 1B","disease","Endothelial",50,0,0
"TAGLN","751","Symptomatic carotid plaque 1B","disease","Fibroblast",6,0.272036941361694,0.166666666666667
"TAGLN","751","Symptomatic carotid plaque 1B","disease","Lymphocyte",29,0.0525622636741981,0.0344827586206897
"TAGLN","751","Symptomatic carotid plaque 1B","disease","Macrophage",102,0.141514826357786,0.0588235294117647
"TAGLN","751","Symptomatic carotid plaque 1B","disease","Pericyte",4,0,0
"TAGLN","751","Symptomatic carotid plaque 1B","disease","Vascular Smooth Muscle",1799,0.677880950789256,0.314063368538077
"TAGLN","826","Asymptomatic carotid plaque 1A","disease","Endothelial",66,0.0739132422700981,0.0303030303030303
"TAGLN","826","Asymptomatic carotid plaque 1A","disease","Fibroblast",156,0.621300158301836,0.320512820512821
"TAGLN","826","Asymptomatic carotid plaque 1A","disease","Lymphocyte",112,0.0721121374533247,0.0357142857142857
"TAGLN","826","Asymptomatic carotid plaque 1A","disease","Macrophage",492,0.148391850798008,0.0813008130081301
"TAGLN","826","Asymptomatic carotid plaque 1A","disease","Pericyte",16,1.23028535418987,0.5625
"TAGLN","826","Asymptomatic carotid plaque 1A","disease","Vascular Smooth Muscle",192,0.531214689296478,0.244791666666667
"TAGLN","826","Asymptomatic carotid plaque 1B","disease","Endothelial",25,0.213853645640692,0.12
"TAGLN","826","Asymptomatic carotid plaque 1B","disease","Fibroblast",81,0.734943555201004,0.37037037037037
"TAGLN","826","Asymptomatic carotid plaque 1B","disease","Lymphocyte",76,0.0978033944919027,0.0394736842105263
"TAGLN","826","Asymptomatic carotid plaque 1B","disease","Macrophage",253,0.127048998862348,0.0711462450592885
"TAGLN","826","Asymptomatic carotid plaque 1B","disease","Pericyte",10,1.11603924343849,0.6
"TAGLN","826","Asymptomatic carotid plaque 1B","disease","Vascular Smooth Muscle",106,0.727704750253351,0.330188679245283
"TAGLN","C7","Control disease free carotid tissue","control","Endothelial",156,0,0
"TAGLN","C7","Control disease free carotid tissue","control","Lymphocyte",10,0,0
"TAGLN","C7","Control disease free carotid tissue","control","Macrophage",4,0.50620086094469,0.25
"TAGLN","C7","Control disease free carotid tissue","control","Pericyte",63,0.516102872289247,0.238095238095238
"TAGLN","C7","Control disease free carotid tissue","control","Unknown1",39,0.0856981473775323,0.0512820512820513
"TAGLN","C7","Control disease free carotid tissue","control","Unknown2",19,0,0
"TAGLN","C7","Control disease free carotid tissue","control","Vascular Smooth Muscle",153,0.154907208702827,0.065359477124183
"MYH11","751","Symptomatic carotid plaque 1A","disease","Endothelial",47,0.358303421472298,0.148936170212766
"MYH11","751","Symptomatic carotid plaque 1A","disease","Fibroblast",6,0.445532476922853,0.166666666666667
"MYH11","751","Symptomatic carotid plaque 1A","disease","Lymphocyte",31,0.448443448775795,0.193548387096774
"MYH11","751","Symptomatic carotid plaque 1A","disease","Macrophage",101,0.226882588422355,0.099009900990099
"MYH11","751","Symptomatic carotid plaque 1A","disease","Pericyte",3,0.756966016747826,0.333333333333333
"MYH11","751","Symptomatic carotid plaque 1A","disease","Vascular Smooth Muscle",1842,1.85493359940579,0.728013029315961
"MYH11","751","Symptomatic carotid plaque 1B","disease","Endothelial",50,0.215196394817267,0.1
"MYH11","751","Symptomatic carotid plaque 1B","disease","Fibroblast",6,0.719359970565035,0.333333333333333
"MYH11","751","Symptomatic carotid plaque 1B","disease","Lymphocyte",29,0.391766582366594,0.172413793103448
"MYH11","751","Symptomatic carotid plaque 1B","disease","Macrophage",102,0.21045262738481,0.0882352941176471
"MYH11","751","Symptomatic carotid plaque 1B","disease","Pericyte",4,1.12962097839255,0.5
"MYH11","751","Symptomatic carotid plaque 1B","disease","Vascular Smooth Muscle",1799,1.84423693911365,0.720400222345748
"MYH11","826","Asymptomatic carotid plaque 1A","disease","Endothelial",66,0.026010824237345,0.0151515151515152
"MYH11","826","Asymptomatic carotid plaque 1A","disease","Fibroblast",156,0.396962998284603,0.185897435897436
"MYH11","826","Asymptomatic carotid plaque 1A","disease","Lymphocyte",112,0.218683228727256,0.0982142857142857
"MYH11","826","Asymptomatic carotid plaque 1A","disease","Macrophage",492,0.150177214229825,0.0813008130081301
"MYH11","826","Asymptomatic carotid plaque 1A","disease","Pericyte",16,1.63764426747855,0.625
"MYH11","826","Asymptomatic carotid plaque 1A","disease","Vascular Smooth Muscle",192,1.30109506445768,0.489583333333333
"MYH11","826","Asymptomatic carotid plaque 1B","disease","Endothelial",25,0.226069209558212,0.08
"MYH11","826","Asymptomatic carotid plaque 1B","disease","Fibroblast",81,0.471186685760742,0.197530864197531
"MYH11","826","Asymptomatic carotid plaque 1B","disease","Lymphocyte",76,0.248007090332408,0.105263157894737
"MYH11","826","Asymptomatic carotid plaque 1B","disease","Macrophage",253,0.145397883022168,0.0790513833992095
"MYH11","826","Asymptomatic carotid plaque 1B","disease","Pericyte",10,2.30950777377407,0.9
"MYH11","826","Asymptomatic carotid plaque 1B","disease","Vascular Smooth Muscle",106,1.67076607087967,0.60377358490566
"MYH11","C7","Control disease free carotid tissue","control","Endothelial",156,0.0947504589390125,0.0512820512820513
"MYH11","C7","Control disease free carotid tissue","control","Lymphocyte",10,0.470523948247134,0.2
"MYH11","C7","Control disease free carotid tissue","control","Macrophage",4,0.662415297334573,0.25
"MYH11","C7","Control disease free carotid tissue","control","Pericyte",63,1.19355947112709,0.476190476190476
