"celltype","gene","contrast","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","method"
"Vascular Smooth Muscle","SARAF","disease_vs_control",0.428721426347813,-0.421941907410537,0.073,0.065,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ZNF335","disease_vs_control",0.428993666703039,0.555988296706922,0.055,0.039,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","GLO1","disease_vs_control",0.429030061759172,-0.309250225711246,0.05,0.046,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","SH3KBP1","disease_vs_control",0.429047691200414,0.477722164074142,0.136,0.092,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","LL22NC03-2H8.5","disease_vs_control",0.429090162317082,-0.0952285915758395,0.036,0.052,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ATG13","disease_vs_control",0.429304219218034,0.302798101698994,0.105,0.059,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","AGGF1","disease_vs_control",0.429709185959745,0.545403959458041,0.069,0.039,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","TJP2","disease_vs_control",0.430273754279848,-0.175710011362417,0.386,0.314,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","HSD17B4","disease_vs_control",0.430376983675688,0.3906614878112,0.162,0.098,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","TSPAN5","disease_vs_control",0.430415904240556,0.42694484714137,0.138,0.085,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","LRRC49","disease_vs_control",0.430494082796764,-0.205276236575393,0.093,0.085,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","SRP54","disease_vs_control",0.430537276493087,0.0608402551656541,0.181,0.111,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","CPEB2","disease_vs_control",0.431242283659217,0.334525233648839,0.125,0.065,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","RAB14","disease_vs_control",0.431531274081395,0.300369786659047,0.099,0.052,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","TRDMT1","disease_vs_control",0.431779166117398,0.683552867579148,0.06,0.033,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","TTC14","disease_vs_control",0.432120916883928,0.214864895649479,0.252,0.17,1,"Seurat_LR_cell_level_exploratory"
